mab_uid,mab_id,pubmed_id,pdb_id,uniprot_accession,virus_taxonid,virus_name,family,species,disease_id,disease_name
1134_MHRP-Z1039,MHRP-Z1039,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1135_MHRP-Z1039,MHRP-Z1039,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1136_MHRP-Z1039,MHRP-Z1039,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1137_MHRP-Z1012,MHRP-Z1012,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1138_MHRP-Z1012,MHRP-Z1012,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1139_MHRP-Z1012,MHRP-Z1012,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1140_MHRP-Z1012,MHRP-Z1012,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1141_MHRP-Z1012,MHRP-Z1012,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1142_MHRP-Z1096,MHRP-Z1096,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1143_MHRP-Z1096,MHRP-Z1096,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1144_MHRP-Z1096,MHRP-Z1096,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1145_MHRP-Z1096,MHRP-Z1096,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1146_MHRP-Z1096,MHRP-Z1096,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1147_MHRP-Z1055,MHRP-Z1055,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1148_MHRP-Z1055,MHRP-Z1055,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1149_MHRP-Z1055,MHRP-Z1055,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1150_MHRP-Z1055,MHRP-Z1055,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1151_MHRP-Z1055,MHRP-Z1055,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1152_MHRP-Z1102,MHRP-Z1102,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1153_MHRP-Z1102,MHRP-Z1102,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1154_MHRP-Z1102,MHRP-Z1102,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1155_MHRP-Z1102,MHRP-Z1102,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1156_MHRP-Z1102,MHRP-Z1102,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1157_MHRP-Z1090,MHRP-Z1090,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1158_MHRP-Z1090,MHRP-Z1090,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1159_MHRP-Z1090,MHRP-Z1090,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1160_MHRP-Z1090,MHRP-Z1090,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1161_MHRP-Z1090,MHRP-Z1090,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1162_MHRP-Z1084,MHRP-Z1084,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1163_MHRP-Z1084,MHRP-Z1084,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1164_MHRP-Z1084,MHRP-Z1084,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1165_MHRP-Z1084,MHRP-Z1084,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1166_MHRP-Z1084,MHRP-Z1084,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1167_MHRP-Z1077,MHRP-Z1077,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1168_MHRP-Z1077,MHRP-Z1077,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1169_MHRP-Z1077,MHRP-Z1077,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1170_MHRP-Z1077,MHRP-Z1077,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1171_MHRP-Z1077,MHRP-Z1077,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1172_MHRP-Z1059,MHRP-Z1059,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1173_MHRP-Z1059,MHRP-Z1059,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1174_MHRP-Z1059,MHRP-Z1059,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1175_MHRP-Z1059,MHRP-Z1059,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1176_MHRP-Z1059,MHRP-Z1059,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1177_MHRP-Z1115,MHRP-Z1115,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1178_MHRP-Z1115,MHRP-Z1115,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1179_MHRP-Z1115,MHRP-Z1115,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1180_MHRP-Z1115,MHRP-Z1115,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1181_MHRP-Z1115,MHRP-Z1115,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1182_MHRP-Z1068,MHRP-Z1068,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1183_MHRP-Z1068,MHRP-Z1068,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1184_MHRP-Z1068,MHRP-Z1068,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1185_MHRP-Z1068,MHRP-Z1068,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1186_MHRP-Z1068,MHRP-Z1068,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1187_MHRP-Z1101,MHRP-Z1101,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1188_MHRP-Z1101,MHRP-Z1101,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1189_MHRP-Z1101,MHRP-Z1101,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1190_MHRP-Z1101,MHRP-Z1101,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1191_MHRP-Z1101,MHRP-Z1101,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1192_MHRP-Z1060,MHRP-Z1060,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1193_MHRP-Z1060,MHRP-Z1060,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1194_MHRP-Z1060,MHRP-Z1060,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1195_MHRP-Z1060,MHRP-Z1060,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1196_MHRP-Z1060,MHRP-Z1060,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1197_MHRP-Z1015,MHRP-Z1015,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1198_MHRP-Z1015,MHRP-Z1015,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1199_MHRP-Z1015,MHRP-Z1015,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1200_MHRP-Z1015,MHRP-Z1015,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1201_MHRP-Z1015,MHRP-Z1015,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1202_MHRP-Z1002,MHRP-Z1002,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1203_MHRP-Z1002,MHRP-Z1002,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1204_MHRP-Z1002,MHRP-Z1002,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1205_MHRP-Z1002,MHRP-Z1002,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1206_MHRP-Z1002,MHRP-Z1002,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1207_MHRP-Z1074,MHRP-Z1074,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
1208_MHRP-Z1074,MHRP-Z1074,32015557,6NIP; 6MTX,,11053,Dengue Virus1,Flavivirus,West Nile Virus,12205,dengue disease
1209_MHRP-Z1074,MHRP-Z1074,32015557,6NIP; 6MTX,,11060,Dengue Virus2,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1210_MHRP-Z1074,MHRP-Z1074,32015557,6NIP; 6MTX,,11069,Dengue Virus3,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1211_MHRP-Z1074,MHRP-Z1074,32015557,6NIP; 6MTX,,11070,Dengue Virus4,Flavivirus,West Nile Virus,12206,dengue hemorrhagic fever
1212_MHRP-Z1080,MHRP-Z1080,32015557,6NIP; 6MTX,,64320,Zika Virus,Flavivirus,West Nile Virus,60478,zika fever
