mab_uid,mab_id,pubmed_id,pdb_id,uniprot_accession,virus_taxonid,virus_name,family,species,disease_id,disease_name
1275_EDE1-C8,EDE1-C8,32015557,,,11082,West Nile Virus,,West Nile Virus,2366,West Nile fever
1276_EDE1-C8,EDE1-C8,32015557,,,11072,JEV,,Japanese Encephalitis Virus,10844,Japanese encephalitis
1277_EDE1-C8,EDE1-C8,32015557,,,11089,Yellow Fever Virus,,Yellow Fever Virus,9682,yellow fever
1278_EDE1-C8,EDE1-C8,32015557,,,64320,Zika Virus,,Zika Virus,60478,zika fever
1279_EDE1-C8,EDE1-C8,32015557,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease
1280_EDE1-C8,EDE1-C8,32015557,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever
1281_EDE1-C8,EDE1-C8,32015557,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever
1282_EDE1-C8,EDE1-C8,32015557,,,11070,Dengue Virus4,Flavivirus,Dengue Virus,12206,dengue hemorrhagic fever
1283_EDE2-A11,EDE2-A11,32015557,,,11082,West Nile Virus,,West Nile Virus,2366,West Nile fever
1284_EDE2-A11,EDE2-A11,32015557,,,11072,JEV,,Japanese Encephalitis Virus,10844,Japanese encephalitis
1285_EDE2-A11,EDE2-A11,32015557,,,11089,Yellow Fever Virus,,Yellow Fever Virus,9682,yellow fever
