mab_uid,mab_id,pubmed_id,pdb_id,uniprot_accession,virus_taxonid,virus_name,family,species,disease_id,disease_name,organism,target protein,target type,target,target name,structural sub_domains,assay type,assay,quantitative measure,unit
382_DV7,DV7,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),9,ng/ml
383_DV7,DV7,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),11,ng/ml
384_DV7,DV7,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),84,ng/ml
385_DV7,DV7,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),75,ng/ml
386_DV7,DV7,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),130,ng/ml
387_DV7,DV7,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206; 0050125,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),31,ng/ml
388_DV8,DV8,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),186,ng/ml
389_DV8,DV8,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),263,ng/ml
390_DV8,DV8,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),102,ng/ml
391_DV8,DV8,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),92,ng/ml
392_DV8,DV8,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206; 0050125,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),111,ng/ml
393_DV8,DV8,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),65,ng/ml
394_DV8,DV8,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),71,ng/ml
395_DV8,DV8,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),59,ng/ml
396_DV8,DV8,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206; 0050125,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),58,ng/ml
397_DV8,DV8,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),103,ng/ml
398_DV8,DV8,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),22,ng/ml
399_DV8,DV8,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),31,ng/ml
400_DV8,DV8,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206; 0050125,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),24,ng/ml
401_DV15,DV15,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),159,ng/ml
402_DV15,DV15,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),305,ng/ml
403_DV15,DV15,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),29,ng/ml
404_DV15,DV15,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),22,ng/ml
405_DV15,DV15,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206; 0050125,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),36,ng/ml
406_DV15,DV15,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),34,ng/ml
407_DV15,DV15,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),11,ng/ml
408_DV15,DV15,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),14,ng/ml
409_DV15,DV15,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206; 0050125,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),17,ng/ml
410_DV15,DV15,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),123,ng/ml
411_DV15,DV15,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),55,ng/ml
412_DV15,DV15,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),173,ng/ml
413_DV15,DV15,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206; 0050125,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),70,ng/ml
414_DV16,DV16,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),420,ng/ml
415_DV16,DV16,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),148,ng/ml
416_DV16,DV16,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),34,ng/ml
417_DV16,DV16,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),17,ng/ml
418_DV16,DV16,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206; 0050125,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),22,ng/ml
419_DV16,DV16,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),16,ng/ml
420_DV16,DV16,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),11,ng/ml
421_DV16,DV16,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),8,ng/ml
422_DV16,DV16,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),20,ng/ml
423_DV16,DV16,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),248,ng/ml
424_DV16,DV16,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),89,ng/ml
425_DV16,DV16,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),219,ng/ml
426_DV16,DV16,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),101,ng/ml
427_DVA378,DVA378,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),40,ng/ml
428_DVA378,DVA378,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),38,ng/ml
429_DVA378,DVA378,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),14,ng/ml
430_DVA378,DVA378,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),5,ng/ml
431_DVA378,DVA378,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),7,ng/ml
432_DVA378,DVA378,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),7,ng/ml
433_DVA378,DVA378,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),6,ng/ml
434_DVA378,DVA378,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),3,ng/ml
435_DVA378,DVA378,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),11,ng/ml
436_DVA378,DVA378,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),149,ng/ml
437_DVA378,DVA378,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),72,ng/ml
438_DVA378,DVA378,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),251,ng/ml
439_DVA378,DVA378,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),498,ng/ml
440_DVC23,DVC23,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),234,ng/ml
441_DVC23,DVC23,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),234,ng/ml
442_DVC23,DVC23,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),87,ng/ml
443_DVC23,DVC23,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),54,ng/ml
444_DVC23,DVC23,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),85,ng/ml
445_DVC23,DVC23,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),45,ng/ml
446_DVC23,DVC23,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),43,ng/ml
447_DVC23,DVC23,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),31,ng/ml
448_DVC23,DVC23,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),39,ng/ml
449_DVC23,DVC23,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
450_DVC23,DVC23,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),14,ng/ml
451_DVC23,DVC23,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
452_DVC23,DVC23,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
453_DVF108,DVF108,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),80,ng/ml
454_DVF108,DVF108,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),89,ng/ml
455_DVF108,DVF108,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),37,ng/ml
456_DVF108,DVF108,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),24,ng/ml
457_DVF108,DVF108,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),17,ng/ml
458_DVF108,DVF108,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),11,ng/ml
459_DVF108,DVF108,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),5,ng/ml
460_DVF108,DVF108,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),10,ng/ml
461_DVF108,DVF108,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),8,ng/ml
462_DVF108,DVF108,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
463_DVF108,DVF108,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
464_DVF108,DVF108,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
465_DVF108,DVF108,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
466_DVD15,DVD15,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),338,ng/ml
467_DVD15,DVD15,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),394,ng/ml
468_DVD15,DVD15,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),125,ng/ml
469_DVD15,DVD15,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),29,ng/ml
470_DVD15,DVD15,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),75,ng/ml
471_DVD15,DVD15,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),13,ng/ml
472_DVD15,DVD15,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),18,ng/ml
473_DVD15,DVD15,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),9,ng/ml
474_DVD15,DVD15,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),11,ng/ml
475_DVD15,DVD15,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),209,ng/ml
476_DVD15,DVD15,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),66,ng/ml
477_DVD15,DVD15,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),262,ng/ml
478_DVD15,DVD15,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),183,ng/ml
479_DV38,DV38,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),157,ng/ml
480_DV38,DV38,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),69,ng/ml
481_DV38,DV38,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),40,ng/ml
482_DV38,DV38,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),23,ng/ml
483_DV38,DV38,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),22,ng/ml
484_DV38,DV38,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),40,ng/ml
485_DV38,DV38,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),10,ng/ml
486_DV38,DV38,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),16,ng/ml
487_DV38,DV38,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),113,ng/ml
488_DV38,DV38,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),209,ng/ml
489_DV38,DV38,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),66,ng/ml
490_DV38,DV38,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),262,ng/ml
491_DV38,DV38,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),183,ng/ml
492_DV1,DV1,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),157,ng/ml
493_DV1,DV1,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),69,ng/ml
494_DV1,DV1,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),40,ng/ml
495_DV1,DV1,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),23,ng/ml
496_DV1,DV1,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),22,ng/ml
497_DV1,DV1,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),40,ng/ml
498_DV1,DV1,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),10,ng/ml
499_DV1,DV1,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),16,ng/ml
500_DV1,DV1,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),113,ng/ml
501_DV1,DV1,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
502_DV1,DV1,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
503_DV1,DV1,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
504_DV1,DV1,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),82,ng/ml
505_DVD19,DVD19,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),157,ng/ml
506_DVD19,DVD19,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),69,ng/ml
507_DVD19,DVD19,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),40,ng/ml
508_DVD19,DVD19,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),23,ng/ml
509_DVD19,DVD19,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),22,ng/ml
510_DVD19,DVD19,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),40,ng/ml
511_DVD19,DVD19,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),10,ng/ml
512_DVD19,DVD19,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 VLP,,,Binding,ELISA (EC50; ng/ml),16,ng/ml
513_DVD19,DVD19,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 VLP,,,Binding,ELISA (EC50; ng/ml),113,ng/ml
514_DVD19,DVD19,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,,Dengue Virus1 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
515_DVD19,DVD19,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus2 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
516_DVD19,DVD19,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus3 neut,,,Neutralization,IC50 (ng/ml),,ng/ml
517_DVD19,DVD19,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,,Dengue Virus4 neut,,,Neutralization,IC50 (ng/ml),82,ng/ml
518_DV18,DV18,27417494,,,64320,Zika Virus,,Zika Virus,60478,zika fever,,,Protein,Zika Virus E,,,Binding,ELISA (EC50; ng/ml),1981,ng/ml
519_DV18,DV18,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 E,,,Binding,ELISA (EC50; ng/ml),689,ng/ml
520_DV18,DV18,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 E,,,Binding,ELISA (EC50; ng/ml),467,ng/ml
521_DV18,DV18,27417494,,,11069,Dengue Virus3,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus3 E,,,Binding,ELISA (EC50; ng/ml),227,ng/ml
522_DV18,DV18,27417494,,,11070,Dengue Virus4,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus4 E,,,Binding,ELISA (EC50; ng/ml),408,ng/ml
523_DV18,DV18,27417494,,,11053,Dengue Virus1,,Dengue Virus,12205,dengue disease,,,Protein,Dengue Virus1 VLP,,,Binding,ELISA (EC50; ng/ml),432,ng/ml
524_DV18,DV18,27417494,,,11060,Dengue Virus2,,Dengue Virus,12206,dengue hemorrhagic fever,,,Protein,Dengue Virus2 VLP,,,Binding,ELISA (EC50; ng/ml),140,ng/ml
