mab_uid,mab_id,pubmed_id,pdb_id,uniprot_accession,virus_taxonid,virus_name,family,species,disease_id,disease_name,organism,target protein,target type,target,target name,structural sub_domains,assay type,assay,quantitative measure,unit
13_2B7 Fab,2B7 Fab, 26355030;  33414220,6WEQ; 7K93,Q9J7C6,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,dengue virus type 1; dengue virus type 2,POLY; Core protein,Protein,UniProt: Q9J7C6 dengue virus type 1; UniProt: D0EPS0 dengue virus type 2; ,POLY; Core protein,,Binding,ELISA; X-ray crystallography,,
14_2B7 scFv,2B7 scFv, 26355030;  33414220,6WEQ; 7K93,Q9J7C6,11053,Dengue Virus1,Flavivirus,Dengue Virus,12205,dengue disease,dengue virus type 1; dengue virus type 2,POLY; Core protein,Protein,UniProt: Q9J7C6 dengue virus type 1; UniProt: D0EPS0 dengue virus type 2; ,POLY; Core protein,,Binding,ELISA; X-ray crystallography,,
15_2B7 Fab,2B7 Fab, 26355030;  33414220,6WEQ; 7K93,D0EPS0,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease,dengue virus type 1; dengue virus type 2,POLY; Core protein,Protein,UniProt: Q9J7C6 dengue virus type 1; UniProt: D0EPS0 dengue virus type 2; ,POLY; Core protein,,Binding,ELISA; X-ray crystallography,,
16_2B7 scFv,2B7 scFv, 26355030;  33414220,6WEQ; 7K93,D0EPS0,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease,dengue virus type 1; dengue virus type 2,POLY; Core protein,Protein,UniProt: Q9J7C6 dengue virus type 1; UniProt: D0EPS0 dengue virus type 2; ,POLY; Core protein,,Binding,ELISA; X-ray crystallography,,
17_6B6C-1,6B6C-1, 19297614;  6198396,,P09732,11080,St. Louis Encephalitis Virus,Flavivirus,St. Louis Encephalitis Virus,10845,St. Louis encephalitis,St. louis encephalitis virus (strain MS1-7),Genome polyprotein; Envelope protein E,Protein,UniProt: P09732 St. louis encephalitis virus (strain MS1-7),Genome polyprotein; Envelope protein E,,Binding,ELISA; Western blot,,
18_6B6C-1,6B6C-1, 19297614;  6198396,,,11089,Yellow Fever Virus,Flavivirus,Yellow Fever Virus,9682,yellow fever,St. louis encephalitis virus (strain MS1-7),Genome polyprotein; Envelope protein E,Protein,UniProt: P09732 St. louis encephalitis virus (strain MS1-7),Genome polyprotein; Envelope protein E; This antibody recognizes multiple members of the flavivirus genus; including dengue virus (Dengue Virus); West Nile virus (West Nile Virus); yellow fever virus (Yellow Fever Virus); Japanese encephalitis virus (JEV); and St. Louis encephalitis virus (St. Louis Encephalitis Virus).,,Binding,ELISA; Western blot,,
19_6B6C-1,6B6C-1, 19297614;  6198396,,,11082,West Nile Virus,Flavivirus,West Nile Virus,2366,West Nile fever,St. louis encephalitis virus (strain MS1-7),Genome polyprotein; Envelope protein E,Protein,UniProt: P09732 St. louis encephalitis virus (strain MS1-7),Genome polyprotein; Envelope protein E,,Binding,ELISA; Western blot,,
20_747(4)A11,747(4)A11, 28534525;  25501631;  25581790,5LCV;  5N09; 4UT7,P14340,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease,Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2); Dengue virus type 2 (strain Jamaica/1409/1983) (Dengue Virus-2); dengue virus type 2,Genome polyprotein; Envelope protein E,protein,UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2),Genome polyprotein; Envelope protein E,,Binding,ELISA; Western blot; X-ray crystallography,,
21_747(4)B7,747(4)B7, 25501631;  25581790,4UT6,P14340,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease,Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2),Genome polyprotein; Envelope protein E,protein,UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2),Genome polyprotein; Envelope protein E,,Binding,ELISA; Western blot; X-ray crystallography,,
22_752_2C8,752_2C8, 25501631;  25581790,4UT6,P14340,11060,Dengue Virus2,Flavivirus,Dengue Virus,12205; 12206,dengue disease,Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2),Genome polyprotein; Envelope protein E,protein,UniProt: P14340 Dengue virus type 2 (strain Thailand/NGS-C/1944) (Dengue Virus-2),Genome polyprotein; Envelope protein E,,Binding,ELISA; Western blot; X-ray crystallography,,
